Name,Specialty,Availability,Rating
Matthew Johnson,Oncology,Tuesday,4.4
Stephen Nelson,Orthopedics,Friday,4.3
Susan Flores,General Practice,Monday,3.9
Victoria Roberson,Dermatology,Wednesday,4.4
Carolyn Sullivan,Cardiology,Thursday,3.8
Joanna Beltran,Gastroenterology,Wednesday,3.9
Nina Wallace,General Practice,Tuesday,3.5
John Ramirez,Neurology,Tuesday,3.7
Ian Johnson,General Practice,Thursday,3.3
William Perez,Dermatology,Friday,3.9
Amy Miller,Cardiology,Thursday,3.7
Mr. Kenneth Barber,Dermatology,Wednesday,4.2
Lisa Brooks,General Practice,Tuesday,3.6
Edward Lee,Gastroenterology,Wednesday,3.7
Cathy Martinez,General Practice,Tuesday,3.4
Elizabeth Hale,Endocrinology,Friday,3.1
Rose Mccoy,Dermatology,Wednesday,4.4
James Williams,Gastroenterology,Thursday,4.4
Mary Lewis,Gastroenterology,Thursday,4.2
Brian Little,Neurology,Friday,4.5
Julia Smith,Gastroenterology,Monday,3.1
Mr. Justin Perez,Oncology,Thursday,4.9
Deborah Reeves,Pediatrics,Thursday,3.1
Bobby Harris,Pediatrics,Friday,4.6
Mary Crawford,Dermatology,Friday,4.7
Joshua Edwards,Cardiology,Thursday,3.3
Amber Payne,Pediatrics,Monday,4.7
Joseph Wilcox,Neurology,Wednesday,4.2
Stephanie Miller,General Practice,Friday,4.4
Catherine Knapp,Cardiology,Friday,3.8
Erin Adkins,Endocrinology,Wednesday,3.2
Margaret Barnett,General Practice,Thursday,3.0
Angela Dean,Cardiology,Wednesday,4.3
Tammy Kane,Dermatology,Wednesday,3.7
Latasha Taylor,Endocrinology,Wednesday,3.6
Samuel Fields,General Practice,Wednesday,4.3
Erik Ruiz,Endocrinology,Thursday,3.3
Mr. Kyle Gibson,Orthopedics,Thursday,4.4
Pamela Jones,Cardiology,Tuesday,4.2
Gloria Cox,Endocrinology,Monday,4.2
Stanley Harris,Gastroenterology,Thursday,3.8
Jennifer Cooper,Dermatology,Thursday,4.7
Kathryn Edwards,Cardiology,Thursday,4.1
James Mcdowell,Cardiology,Monday,3.1
Steven Young,Endocrinology,Friday,3.0
Bradley Gordon,Orthopedics,Wednesday,4.3
Dawn Mcdowell,Endocrinology,Wednesday,4.0
Craig Curtis,Neurology,Friday,3.6
Pamela Perez,Pediatrics,Monday,4.1
Erin Lawson,Pediatrics,Friday,4.9
Lorraine Alvarez,Neurology,Friday,5.0
Zachary Ho,Neurology,Monday,3.8
Linda Sloan,Endocrinology,Monday,4.2
Larry Hunt,Oncology,Wednesday,3.8
Amber Sherman,Dermatology,Friday,4.7
Mark Johnson,General Practice,Monday,3.8
Heather Martinez,Pediatrics,Tuesday,4.4
Kimberly Crawford,General Practice,Thursday,3.8
Veronica Fernandez,Oncology,Monday,4.8
Donald Smith,Gastroenterology,Tuesday,4.1
Jordan Myers,Endocrinology,Friday,4.9
Sharon Morrison,Oncology,Tuesday,4.0
Christina Green,Endocrinology,Thursday,4.3
Brooke Richardson,Cardiology,Tuesday,3.5
Michael Henry,Dermatology,Thursday,3.4
Robert Acosta,Endocrinology,Tuesday,3.2
Sherry Burch,Orthopedics,Thursday,4.8
Miranda Barnett,General Practice,Friday,3.5
Garrett Morrison,Orthopedics,Tuesday,4.5
Johnathan Williams,Endocrinology,Monday,3.5
Robert Robbins,General Practice,Friday,4.1
Deborah Gross,Endocrinology,Thursday,3.1
Matthew Rice,Dermatology,Tuesday,4.8
Gina Huang,Dermatology,Thursday,3.0
Matthew Wilson,Cardiology,Tuesday,4.2
Stephanie Rodriguez,General Practice,Thursday,4.3
Deborah Glass,Gastroenterology,Thursday,3.2
Tammy Campbell,Dermatology,Monday,4.1
Melissa Martinez,Dermatology,Wednesday,4.4
Tonya Burton,Cardiology,Friday,4.8
Henry Alvarado,Cardiology,Monday,3.4
Scott Clark,Pediatrics,Wednesday,3.2
Paula Jacobs,Orthopedics,Tuesday,4.8
Deborah Ramos,Endocrinology,Thursday,4.6
Tara Davis,Oncology,Friday,3.8
Joseph Barrett,Cardiology,Wednesday,3.8
Gordon Alvarado,General Practice,Friday,3.2
Christine Skinner,Endocrinology,Thursday,3.7
Matthew Lowery,Neurology,Wednesday,3.9
Cheryl Brown,Endocrinology,Thursday,4.0
Maria Sweeney,Cardiology,Wednesday,4.0
Alyssa Velez,Cardiology,Tuesday,3.0
Brian Murphy,Orthopedics,Thursday,5.0
Michael Carter,Dermatology,Tuesday,3.0
Katherine Morris,Pediatrics,Thursday,3.6
Joseph French,Gastroenterology,Tuesday,4.8
Tony Palmer,Gastroenterology,Monday,4.0
Eric Cunningham,Pediatrics,Wednesday,3.7
Michele Booth,Gastroenterology,Thursday,5.0
Renee Mora,Oncology,Friday,4.1
Mrs. Shirley Shelton,General Practice,Tuesday,4.8
Jennifer Jimenez,Endocrinology,Tuesday,3.6
Angela Hanson,Dermatology,Tuesday,5.0
David Salazar,Gastroenterology,Friday,3.2
Derrick Long,Pediatrics,Tuesday,4.7
Deborah Anderson,Cardiology,Friday,4.4
Joseph Morton,Gastroenterology,Monday,3.3
Curtis Evans,Orthopedics,Friday,4.6
Edward Ortiz,Endocrinology,Wednesday,3.2
Dana Willis,Gastroenterology,Thursday,4.6
Adrian White,General Practice,Tuesday,4.1
Amy Shannon,Endocrinology,Friday,3.2
Gregory Sullivan,Oncology,Thursday,3.6
Angela Jackson,Gastroenterology,Thursday,3.6
Gina Rose,Pediatrics,Thursday,4.2
Gabriela Jackson,General Practice,Tuesday,3.8
Jennifer Rodriguez,Oncology,Friday,4.0
Cory Alvarez,Neurology,Wednesday,3.5
Mary Quinn,Dermatology,Thursday,3.7
Gregory Griffin,Gastroenterology,Thursday,4.4
Charles Rivera,Dermatology,Tuesday,3.5
David Peters,Neurology,Tuesday,4.6
Tommy Thomas,Neurology,Monday,4.8
Sergio Jones,Pediatrics,Wednesday,3.5
Julie Sanders,Dermatology,Monday,4.8
Danny Horne DDS,Gastroenterology,Wednesday,3.7
Sarah Mendoza,Dermatology,Friday,4.0
Misty Anderson,General Practice,Tuesday,4.5
Alyssa Owens,Pediatrics,Wednesday,3.4
Crystal Russell,Endocrinology,Thursday,3.5
Ruth Hendrix,Neurology,Wednesday,3.4
Rachel Nelson,Neurology,Monday,4.6
Richard Miller,Endocrinology,Wednesday,4.8
Cody Blair,General Practice,Thursday,4.8
Elizabeth Green,Pediatrics,Thursday,3.3
Kelly Rodriguez,Endocrinology,Monday,3.8
Elizabeth Sanders,Pediatrics,Wednesday,3.2
Emily Morrow,Endocrinology,Thursday,3.4
Sandra Mcintyre,Orthopedics,Thursday,4.3
Lori Simmons,Oncology,Friday,4.9
Ashley Murphy,Dermatology,Thursday,3.7
Teresa Carr,Pediatrics,Wednesday,4.1
Elizabeth Wright,Cardiology,Tuesday,3.9
Emily Hill,General Practice,Friday,4.8
Julia English,Dermatology,Thursday,3.3
Latasha Johnson,Endocrinology,Thursday,4.7
Sarah Hamilton,Orthopedics,Thursday,3.5
Nicholas Howard,Orthopedics,Friday,3.4
Donna Reyes,Orthopedics,Monday,3.0
Christopher Black,Cardiology,Wednesday,3.8
Anna Smith,Dermatology,Friday,3.4
Jimmy Vasquez,Dermatology,Monday,3.4
Nicholas Allen,Dermatology,Friday,4.3
Colin Hernandez,Gastroenterology,Friday,3.5
Allen Richardson,Gastroenterology,Tuesday,3.5
Kaitlyn Cameron,Neurology,Thursday,3.0
Andrea Porter,General Practice,Monday,4.2
Brenda Jenkins,Dermatology,Thursday,5.0
Kathleen Drake,Endocrinology,Thursday,4.4
David Johnson,Endocrinology,Monday,4.5
Miss Brenda Smith DVM,Dermatology,Friday,3.6
Patricia Owens,Gastroenterology,Wednesday,3.8
Robert Bridges,Dermatology,Friday,4.2
Felicia Howell,Pediatrics,Tuesday,5.0
Lisa Kline,Neurology,Wednesday,4.9
Ashley Howard,General Practice,Wednesday,3.6
David Butler,Cardiology,Monday,3.4
Dr. Jay Graves,Orthopedics,Wednesday,4.7
Kimberly Fernandez,Pediatrics,Wednesday,4.8
Danny Campbell,General Practice,Friday,4.7
Kenneth Nguyen,Gastroenterology,Tuesday,4.8
Ian Williams,Orthopedics,Tuesday,3.3
Adrian Wall,General Practice,Monday,4.4
Rachel Wade,Orthopedics,Monday,3.8
Darrell Williams,Endocrinology,Monday,3.2
Jonathan Patterson,Neurology,Tuesday,4.0
Deborah Pollard,Orthopedics,Monday,4.3
Alyssa Rivera,Cardiology,Tuesday,4.6
Justin Simon,General Practice,Tuesday,3.8
Eric Hall,Gastroenterology,Thursday,4.1
Lisa Romero,Gastroenterology,Monday,3.0
Reginald Garza,Neurology,Monday,4.7
Kathryn Lambert,General Practice,Tuesday,4.6
Luis Nolan,General Practice,Friday,5.0
Victor Hamilton,Orthopedics,Monday,4.8
William Wilson,General Practice,Thursday,5.0
Victor Marks,Endocrinology,Wednesday,3.7
Lauren Lewis,Dermatology,Thursday,5.0
Jeremiah Hines,Gastroenterology,Tuesday,3.8
Morgan Estrada,General Practice,Wednesday,3.2
Jordan Warner,Dermatology,Wednesday,4.5
Betty Campbell,Pediatrics,Monday,4.7
Nathan White,Orthopedics,Thursday,4.5
Amanda Reyes,Neurology,Thursday,4.6
Jennifer Avery,Cardiology,Monday,3.6
Jason Dominguez,General Practice,Monday,4.0
Thomas Hall,Orthopedics,Thursday,3.9
Thomas Lee,Oncology,Monday,4.6
Jasmin Ramsey,Oncology,Tuesday,4.6
Larry Coleman,Dermatology,Monday,4.9
