Specialist,Symptom
Pulmonologist,"Shortness of breath"
Cardiologist,"Dizziness"
Neurologist,"Headache"
General Practitioner,"Fever"
Pulmonologist,"Cough"
Gastroenterologist,"Abdominal pain"
Rheumatologist,"Joint pain"
Gastroenterologist,"Nausea"
General Practitioner,"Fatigue"
Cardiologist,"Chest pain"
Orthopedist,"Back pain"
Otolaryngologist,"Difficulty swallowing"
Ophthalmologist,"Vision problems"
Dermatologist,"Rash"
Otolaryngologist,"Sore throat"
Neurologist,"Muscle weakness"
Neurologist,"Numbness"
Gastroenterologist,"Vomiting"
Gastroenterologist,"Diarrhea"
Gastroenterologist,"Constipation"
Urologist,"Frequent urination"
Urologist,"Painful urination"
Cardiologist,"Irregular heartbeat"
Gastroenterologist,"Bleeding"
Otolaryngologist,"Swelling"
Pulmonologist,"Difficulty breathing"
Cardiologist,"Chest tightness"
Neurologist,"Confusion"
Neurologist,"Memory loss"
Psychiatrist,"Depression"
Psychiatrist,"Anxiety"
Gastroenterologist,"Stomach bloating"
Gastroenterologist,"Stomach cramps"
General Practitioner,"Weight loss"
General Practitioner,"Weight gain"
Neurologist,"Frequent headaches"
Rheumatologist,"Stiffness in joints"
Cardiologist,"Dizziness when standing"
Cardiologist,"Fainting"
General Practitioner,"Swollen glands"
Neurologist,"Tingling sensation"
Endocrinologist,"Excessive thirst"
Endocrinologist,"Excessive hunger"
Endocrinologist,"Excessive sweating"
Sleep Specialist,"Insomnia"
Sleep Specialist,"Sleepiness"
Otolaryngologist,"Snoring"
Orthopedist,"Muscle cramps"
Hematologist,"Bruising easily"
Dermatologist,"Hair loss"
Pulmonologist,"Shortness of breath"
Cardiologist,"Dizziness"
Neurologist,"Headache"
General Practitioner,"Fever"
Pulmonologist,"Cough"
Gastroenterologist,"Abdominal pain"
Rheumatologist,"Joint pain"
Gastroenterologist,"Nausea"
General Practitioner,"Fatigue"
Cardiologist,"Chest pain"
Orthopedist,"Back pain"
Otolaryngologist,"Difficulty swallowing"
Ophthalmologist,"Vision problems"
Dermatologist,"Rash"
Otolaryngologist,"Sore throat"
Neurologist,"Muscle weakness"
Neurologist,"Numbness"
Gastroenterologist,"Vomiting"
Gastroenterologist,"Diarrhea"
Gastroenterologist,"Constipation"
Urologist,"Frequent urination"
Urologist,"Painful urination"
Cardiologist,"Irregular heartbeat"
Gastroenterologist,"Bleeding"
Otolaryngologist,"Swelling"
Pulmonologist,"Difficulty breathing"
Cardiologist,"Chest tightness"
Neurologist,"Confusion"
Neurologist,"Memory loss"
Psychiatrist,"Depression"
Psychiatrist,"Anxiety"
Gastroenterologist,"Stomach bloating"
Gastroenterologist,"Stomach cramps"
General Practitioner,"Weight loss"
General Practitioner,"Weight gain"
Neurologist,"Frequent headaches"
Rheumatologist,"Stiffness in joints"
Cardiologist,"Dizziness when standing"
Cardiologist,"Fainting"
General Practitioner,"Swollen glands"
Neurologist,"Tingling sensation"
Endocrinologist,"Excessive thirst"
Endocrinologist,"Excessive hunger"
Endocrinologist,"Excessive sweating"
Sleep Specialist,"Insomnia"
Sleep Specialist,"Sleepiness"
Otolaryngologist,"Snoring"
Orthopedist,"Muscle cramps"
Hematologist,"Bruising easily"
Dermatologist,"Hair loss"
Cardiologist,"Chest pressure"
Pulmonologist,"Shortness of breath while lying down"
Pulmonologist,"Wheezing"
Otolaryngologist,"Difficulty speaking"
Orthopedist,"Neck pain"
Rheumatologist,"Swollen joints"
Ophthalmologist,"Sudden vision loss"
Ophthalmologist,"Dry eyes"
Dermatologist,"Skin irritation"
General Practitioner,"Loss of appetite"
Gastroenterologist,"Feeling full quickly after eating"
Gastroenterologist,"Bloody stool"
Urologist,"Blood in urine"
Neurologist,"Difficulty with balance"
Neurologist,"Hand tremors"
Neurologist,"Numbness in extremities"
Psychiatrist,"Panic attacks"
Psychiatrist,"Paranoia"
Psychiatrist,"Hallucinations"
Psychiatrist,"Difficulty concentrating"
Pulmonologist,"Persistent cough"
Pulmonologist,"Worsening cough"
General Practitioner,"Unexplained weight loss"
General Practitioner,"Unexplained weight gain"
Otolaryngologist,"Loss of smell"
Otolaryngologist,"Loss of taste"
Urologist,"Increased urination at night"
Urologist,"Decreased urination"
Sleep Specialist,"Difficulty getting out of bed in the morning"
General Practitioner,"Chronic fatigue"
Sleep Specialist,"Excessive daytime sleepiness"
Sleep Specialist,"Restlessness during sleep"
Sleep Specialist,"Nightmares"
