Condition,Symptoms
"Disorder related to Pulmonologist","shortness of breath, dizziness"
"Syndrome related to General Physician","dizziness, chest pain"
"Infection related to Immunologist","fever, fatigue, rash"
"Condition related to Dermatologist","skin rash, itching, redness"
"Disease related to Cardiologist","chest pain, shortness of breath, palpitations"
"Disorder related to Neurologist","headache, numbness, tingling sensation"
"Issue related to Gastroenterologist","abdominal pain, nausea, vomiting"
"Condition related to Endocrinologist","fatigue, weight loss, excessive thirst"
"Problem related to Orthopedist","joint pain, swelling, restricted movement"
"Disease related to Oncologist","unexplained weight loss, lumps, night sweats"
"Syndrome related to Psychiatrist","anxiety, depression, mood swings"
"Disease related to Nephrologist","swelling, fatigue, changes in urination"
"Condition related to ENT Specialist","ear pain, sore throat, sinus congestion"
"Illness related to Pediatrician","fever, cough, diarrhea in children"
"Disorder related to Rheumatologist","joint pain, stiffness, swelling"
"Condition related to Allergist","sneezing, nasal congestion, itchy eyes"
"Problem related to Urologist","frequent urination, pain during urination"
"Disorder related to Ophthalmologist","blurred vision, eye pain, light sensitivity"
"Issue related to Podiatrist","foot pain, ankle swelling, numbness in feet"
"Syndrome related to Hematologist","bruising, fatigue, unusual bleeding"
"Condition related to Infectious Disease Specialist","fever, night sweats, muscle aches"
"Disorder related to Obstetrician/Gynecologist","irregular menstruation, pelvic pain"
"Condition related to Pulmonologist","persistent cough, wheezing"
"Disease related to Cardiologist","high blood pressure, swollen ankles"
"Syndrome related to Neurologist","seizures, loss of consciousness"
"Disease related to Geriatrician","memory loss, general weakness, incontinence"
"Condition related to Pulmonologist","frequent bronchitis, chronic cough"
"Syndrome related to Psychiatrist","insomnia, chronic fatigue, panic attacks"
"Disorder related to Neurologist","muscle weakness, difficulty swallowing"
"Problem related to Gastroenterologist","heartburn, acid reflux"
"Condition related to Endocrinologist","unexplained weight gain, cold sensitivity"
"Disease related to Orthopedist","bone fractures, loss of bone density"
"Disorder related to Oncologist","unexplained bruising, persistent fever"
"Issue related to Rheumatologist","muscle aches, redness around joints"
"Condition related to Allergist","food allergies, allergic asthma"
