Condition,Symptoms
disorder related to cardiology,"shortness of breath, dizziness"
syndrome related to cardiology,"dizziness, chest pain"
syndrome related to cardiology,"shortness of breath, chest pain"
disorder related to cardiology,"chest pain, dizziness"
disease related to dermatology,"rash, redness"
disorder related to dermatology,"itching, rash"
disorder related to dermatology,"itching, redness"
disorder related to neurology,"headache, numbness"
disorder related to neurology,"numbness, memory loss"
syndrome related to neurology,"numbness, headache"
syndrome related to neurology,"headache, memory loss"
disorder related to pediatrics,"cough,fever,cold"
syndrome related to pediatrics,"vomiting, cough"
syndrome related to pediatrics,"fever, cough"
disorder related to pediatrics,"fever, vomiting"
syndrome related to orthopedics,"limited mobility, swelling"
syndrome related to orthopedics,"swelling, joint pain"
syndrome related to orthopedics,"joint pain, swelling"
disease related to orthopedics,"limited mobility, joint pain"
disease related to oncology,"lumps, fatigue"
disorder related to oncology,"lumps, weight loss"
disease related to oncology,"fatigue, lumps"
syndrome related to oncology,"fatigue, weight loss"
syndrome related to oncology,"lumps, fatigue"
syndrome related to oncology,"lumps, fatigue"
syndrome related to oncology,"weight loss, fatigue"
disorder related to gastroenterology,"diarrhea, bloating"
disorder related to gastroenterology,"abdominal pain, diarrhea"
disease related to gastroenterology,"bloating, abdominal pain"
syndrome related to endocrinology,"fatigue, mood swings"
disease related to endocrinology,"fatigue, weight change"
syndrome related to endocrinology,"weight change, mood swings"
disorder related to endocrinology,"mood swings, weight change"
syndrome related to general practice,"headache, tiredness"
disease related to general practice,"fever, tiredness"
disease related to general practice,"fever, headache"
syndrome related to general practice,"fever, tiredness"
disorder related to general practice,"headache, tiredness"
syndrome related to general practice,"sore throat, cough"
disease related to general practice,"muscle aches, cough"
disorder related to general practice,"runny nose, fever"
syndrome related to general practice,"sneezing, cough"
disease related to general practice,"sore throat, sneezing"
disorder related to general practice,"headache, muscle aches"
disorder related to pulmonology,"cough, wheezing"
syndrome related to pulmonology,"shortness of breath, wheezing"
disease related to pulmonology,"chest tightness, cough"
disorder related to pulmonology,"wheezing, fatigue"
syndrome related to pulmonology,"cough, mucus production"
disease related to pulmonology,"cough, chest pain"
disorder related to immunology,"rashes, itching"
syndrome related to immunology,"swelling, rashes"
disease related to immunology,"fever, swollen glands"
disorder related to immunology,"itching, swelling"
syndrome related to immunology,"hives, allergic reactions"
disease related to immunology,"allergic reactions, sneezing"
disorder related to gastroenterology,"nausea, vomiting"
syndrome related to gastroenterology,"stomach pain, bloating"
disease related to gastroenterology,"gastrointestinal bleeding, diarrhea"
disorder related to gastroenterology,"vomiting, diarrhea"
syndrome related to gastroenterology,"acid reflux, stomach pain"
disease related to gastroenterology,"bloating, gas"
disorder related to nephrology,"kidney pain, blood in urine"
syndrome related to nephrology,"frequent urination, pain"
disease related to nephrology,"urine cloudiness, fever"
disorder related to nephrology,"kidney stones, severe pain"
syndrome related to nephrology,"edema, high blood pressure"
disease related to nephrology,"blood in urine, kidney pain"
disorder related to hematology,"bruising, fatigue"
syndrome related to hematology,"anemia, pale skin"
disease related to hematology,"blood clots, swelling"
disorder related to hematology,"fatigue, shortness of breath"
syndrome related to hematology,"bleeding, easy bruising"
disease related to hematology,"pale skin, weakness"
disorder related to urology,"frequent urination, urgency"
syndrome related to urology,"painful urination, lower back pain"
disease related to urology,"blood in urine, pain"
disorder related to urology,"urinary incontinence, leakage"
syndrome related to urology,"bladder pain, frequency"
disease related to urology,"lower back pain, fever"
disorder related to endocrinology,"excessive thirst, frequent urination"
syndrome related to endocrinology,"weight loss, fatigue"
disease related to endocrinology,"thyroid nodules, hoarseness"
disorder related to endocrinology,"fatigue, depression"
syndrome related to endocrinology,"hair loss, dry skin"
disease related to endocrinology,"menstrual irregularities, weight gain"
disorder related to ophthalmology,"blurred vision, eye pain"
syndrome related to ophthalmology,"red eyes, water discharge"
disease related to ophthalmology,"vision loss, eye redness"
disorder related to ophthalmology,"eye itching, swelling"
syndrome related to ophthalmology,"double vision, headaches"
disease related to ophthalmology,"glaucoma, high eye pressure"
disorder related to otolaryngology,"ear pain, hearing loss"
syndrome related to otolaryngology,"sinus pressure, nasal congestion"
disease related to otolaryngology,"throat soreness, voice loss"
disorder related to otolaryngology,"ringing in ears, dizziness"
