Condition,Symptoms
disorder related to cardiology,"shortness of breath, dizziness"
syndrome related to cardiology,"dizziness, chest pain"
disorder related to cardiology,"shortness of breath, dizziness"
syndrome related to cardiology,"shortness of breath, chest pain"
syndrome related to cardiology,"chest pain, dizziness"
syndrome related to cardiology,"dizziness, shortness of breath"
syndrome related to cardiology,"shortness of breath, chest pain"
disorder related to cardiology,"chest pain, dizziness"
syndrome related to cardiology,"dizziness, shortness of breath"
disease related to cardiology,"chest pain, dizziness"
syndrome related to cardiology,"chest pain, shortness of breath"
disease related to cardiology,"shortness of breath, dizziness"
disease related to cardiology,"dizziness, chest pain"
disease related to cardiology,"shortness of breath, dizziness"
disorder related to cardiology,"chest pain, dizziness"
disease related to cardiology,"dizziness, shortness of breath"
disease related to cardiology,"chest pain, dizziness"
disorder related to cardiology,"shortness of breath, dizziness"
syndrome related to cardiology,"shortness of breath, dizziness"
disorder related to cardiology,"shortness of breath, dizziness"
syndrome related to cardiology,"shortness of breath, dizziness"
disorder related to cardiology,"chest pain, shortness of breath"
syndrome related to cardiology,"dizziness, shortness of breath"
disease related to cardiology,"shortness of breath, chest pain"
syndrome related to cardiology,"chest pain, dizziness"
disease related to dermatology,"rash, redness"
disorder related to dermatology,"itching, rash"
disorder related to dermatology,"itching, redness"
syndrome related to dermatology,"itching, rash"
disease related to dermatology,"rash, itching"
disorder related to dermatology,"rash, itching"
syndrome related to dermatology,"rash, redness"
disease related to dermatology,"itching, rash"
disorder related to dermatology,"rash, redness"
disease related to dermatology,"itching, rash"
syndrome related to dermatology,"redness, rash"
syndrome related to dermatology,"itching, rash"
syndrome related to dermatology,"rash, redness"
disease related to dermatology,"rash, itching"
disorder related to dermatology,"rash, redness"
syndrome related to dermatology,"redness, itching"
disorder related to dermatology,"redness, rash"
disease related to dermatology,"rash, redness"
disease related to dermatology,"itching, rash"
disease related to dermatology,"rash, redness"
disorder related to dermatology,"redness, itching"
disease related to dermatology,"itching, rash"
syndrome related to dermatology,"redness, itching"
disease related to dermatology,"rash, redness"
disease related to dermatology,"redness, rash"
disorder related to neurology,"headache, numbness"
disorder related to neurology,"numbness, memory loss"
syndrome related to neurology,"numbness, headache"
syndrome related to neurology,"memory loss, numbness"
disorder related to neurology,"memory loss, numbness"
syndrome related to neurology,"headache, memory loss"
disease related to neurology,"memory loss, headache"
syndrome related to neurology,"headache, numbness"
disease related to neurology,"memory loss, headache"
disease related to neurology,"headache, memory loss"
disease related to neurology,"headache, numbness"
syndrome related to neurology,"numbness, headache"
disease related to neurology,"memory loss, headache"
syndrome related to neurology,"memory loss, numbness"
syndrome related to neurology,"headache, numbness"
disease related to neurology,"headache, numbness"
disorder related to neurology,"headache, numbness"
disease related to neurology,"memory loss, headache"
disorder related to neurology,"headache, numbness"
disorder related to neurology,"headache, numbness"
syndrome related to neurology,"memory loss, numbness"
syndrome related to neurology,"headache, numbness"
disorder related to neurology,"headache, memory loss"
syndrome related to neurology,"memory loss, numbness"
disorder related to neurology,"numbness, memory loss"
disorder related to pediatrics,"cough, fever"
syndrome related to pediatrics,"cough, fever"
disorder related to pediatrics,"cough, fever"
disorder related to pediatrics,"fever, cough"
syndrome related to pediatrics,"vomiting, cough"
syndrome related to pediatrics,"fever, cough"
disorder related to pediatrics,"fever, vomiting"
disorder related to pediatrics,"fever, vomiting"
disorder related to pediatrics,"cough, vomiting"
disease related to pediatrics,"vomiting, fever"
disorder related to pediatrics,"cough, vomiting"
disease related to pediatrics,"vomiting, cough"
syndrome related to pediatrics,"cough, fever"
disease related to pediatrics,"cough, fever"
disease related to pediatrics,"vomiting, fever"
syndrome related to pediatrics,"vomiting, fever"
disease related to pediatrics,"vomiting, fever"
disorder related to pediatrics,"cough, fever"
disorder related to pediatrics,"cough, fever"
disorder related to pediatrics,"vomiting, fever"
disorder related to pediatrics,"cough, fever"
disorder related to pediatrics,"vomiting, cough"
disorder related to pediatrics,"fever, vomiting"
disorder related to pediatrics,"fever, vomiting"
syndrome related to pediatrics,"fever, vomiting"
syndrome related to orthopedics,"limited mobility, swelling"
syndrome related to orthopedics,"swelling, joint pain"
syndrome related to orthopedics,"joint pain, swelling"
disorder related to orthopedics,"swelling, limited mobility"
